Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date,Division
Squashathon Advance,v,Sha Tin 4,HK Squash Centre,19:00:00,,1,13/10/2025,10
Kwai Tsing District Squash Club,v,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,19:00:00,,1,13/10/2025,10
Banbil,v,RELAY 1,HK Squash Centre,19:00:00,,1,13/10/2025,10
Thunder 2,v,Bravo D10,Cornwall Street Squash Centre,19:00:00,,1,13/10/2025,10
United Services Recreation Club 3,v,Hong Kong Cricket Club D10,United Services Recreation Club,19:00:00,,1,13/10/2025,10
Mercury,v,[BYE],,,,1,13/10/2025,10
Bravo D10,v,United Services Recreation Club 3,Cornwall Street Squash Centre,19:00:00,,2,20/10/2025,10
RELAY 1,v,Thunder 2,Cornwall Street Squash Centre,19:00:00,,2,20/10/2025,10
i-Mask Advance Squash Club 4,v,Banbil,Cornwall Street Squash Centre,19:00:00,,2,20/10/2025,10
Sha Tin 4,v,Kwai Tsing District Squash Club,Cornwall Street Squash Centre,19:00:00,,2,20/10/2025,10
Mercury,v,Squashathon Advance,HK Squash Centre,19:00:00,,2,20/10/2025,10
Hong Kong Cricket Club D10,v,[BYE],,,,2,20/10/2025,10
Kwai Tsing District Squash Club,v,Mercury,Cornwall Street Squash Centre,19:00:00,,3,27/10/2025,10
Banbil,v,Sha Tin 4,HK Squash Centre,19:00:00,,3,27/10/2025,10
Thunder 2,v,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,19:00:00,,3,27/10/2025,10
United Services Recreation Club 3,v,RELAY 1,United Services Recreation Club,19:00:00,,3,27/10/2025,10
Hong Kong Cricket Club D10,v,Bravo D10,Hong Kong Cricket Club,19:00:00,,3,27/10/2025,10
Squashathon Advance,v,[BYE],,,,3,27/10/2025,10
RELAY 1,v,Hong Kong Cricket Club D10,Cornwall Street Squash Centre,19:00:00,,4,03/11/2025,10
i-Mask Advance Squash Club 4,v,United Services Recreation Club 3,Cornwall Street Squash Centre,19:00:00,,4,03/11/2025,10
Sha Tin 4,v,Thunder 2,Cornwall Street Squash Centre,19:00:00,,4,03/11/2025,10
Mercury,v,Banbil,HK Squash Centre,19:00:00,,4,03/11/2025,10
Squashathon Advance,v,Kwai Tsing District Squash Club,HK Squash Centre,19:00:00,,4,03/11/2025,10
Bravo D10,v,[BYE],,,,4,03/11/2025,10
Banbil,v,Squashathon Advance,HK Squash Centre,19:00:00,,5,10/11/2025,10
Thunder 2,v,Mercury,Cornwall Street Squash Centre,19:00:00,,5,10/11/2025,10
United Services Recreation Club 3,v,Sha Tin 4,United Services Recreation Club,19:00:00,,5,10/11/2025,10
Hong Kong Cricket Club D10,v,i-Mask Advance Squash Club 4,Hong Kong Cricket Club,19:00:00,,5,10/11/2025,10
Bravo D10,v,RELAY 1,Cornwall Street Squash Centre,19:00:00,,5,10/11/2025,10
Kwai Tsing District Squash Club,v,[BYE],,,,5,10/11/2025,10
i-Mask Advance Squash Club 4,v,Bravo D10,Cornwall Street Squash Centre,19:00:00,,6,17/11/2025,10
Sha Tin 4,v,Hong Kong Cricket Club D10,Cornwall Street Squash Centre,19:00:00,,6,17/11/2025,10
Mercury,v,United Services Recreation Club 3,HK Squash Centre,19:00:00,,6,17/11/2025,10
Squashathon Advance,v,Thunder 2,HK Squash Centre,19:00:00,,6,17/11/2025,10
Kwai Tsing District Squash Club,v,Banbil,Cornwall Street Squash Centre,19:00:00,,6,17/11/2025,10
RELAY 1,v,[BYE],,,,6,17/11/2025,10
Thunder 2,v,Kwai Tsing District Squash Club,Cornwall Street Squash Centre,19:00:00,,7,24/11/2025,10
United Services Recreation Club 3,v,Squashathon Advance,United Services Recreation Club,19:00:00,,7,24/11/2025,10
Hong Kong Cricket Club D10,v,Mercury,Hong Kong Cricket Club,19:00:00,,7,24/11/2025,10
Bravo D10,v,Sha Tin 4,Cornwall Street Squash Centre,19:00:00,,7,24/11/2025,10
RELAY 1,v,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,19:00:00,,7,24/11/2025,10
Banbil,v,[BYE],,,,7,24/11/2025,10
Sha Tin 4,v,RELAY 1,Cornwall Street Squash Centre,19:00:00,,8,08/12/2025,10
Mercury,v,Bravo D10,HK Squash Centre,19:00:00,,8,08/12/2025,10
Squashathon Advance,v,Hong Kong Cricket Club D10,HK Squash Centre,19:00:00,,8,08/12/2025,10
Kwai Tsing District Squash Club,v,United Services Recreation Club 3,Cornwall Street Squash Centre,19:00:00,,8,08/12/2025,10
Banbil,v,Thunder 2,HK Squash Centre,19:00:00,,8,08/12/2025,10
i-Mask Advance Squash Club 4,v,[BYE],,,,8,08/12/2025,10
United Services Recreation Club 3,v,Banbil,United Services Recreation Club,19:00:00,,9,15/12/2025,10
Hong Kong Cricket Club D10,v,Kwai Tsing District Squash Club,Hong Kong Cricket Club,19:00:00,,9,15/12/2025,10
Bravo D10,v,Squashathon Advance,Cornwall Street Squash Centre,19:00:00,,9,15/12/2025,10
RELAY 1,v,Mercury,Cornwall Street Squash Centre,19:00:00,,9,15/12/2025,10
i-Mask Advance Squash Club 4,v,Sha Tin 4,Cornwall Street Squash Centre,19:00:00,,9,15/12/2025,10
Thunder 2,v,[BYE],,,,9,15/12/2025,10
Mercury,v,i-Mask Advance Squash Club 4,HK Squash Centre,19:00:00,,10,05/01/2026,10
Squashathon Advance,v,RELAY 1,HK Squash Centre,19:00:00,,10,05/01/2026,10
Kwai Tsing District Squash Club,v,Bravo D10,Cornwall Street Squash Centre,19:00:00,,10,05/01/2026,10
Banbil,v,Hong Kong Cricket Club D10,HK Squash Centre,19:00:00,,10,05/01/2026,10
Thunder 2,v,United Services Recreation Club 3,Cornwall Street Squash Centre,19:00:00,,10,05/01/2026,10
Sha Tin 4,v,[BYE],,,,10,05/01/2026,10
Hong Kong Cricket Club D10,v,Thunder 2,Hong Kong Cricket Club,19:00:00,,11,12/01/2026,10
Bravo D10,v,Banbil,Cornwall Street Squash Centre,19:00:00,,11,12/01/2026,10
RELAY 1,v,Kwai Tsing District Squash Club,Cornwall Street Squash Centre,19:00:00,,11,12/01/2026,10
i-Mask Advance Squash Club 4,v,Squashathon Advance,Cornwall Street Squash Centre,19:00:00,,11,12/01/2026,10
Sha Tin 4,v,Mercury,Cornwall Street Squash Centre,19:00:00,,11,12/01/2026,10
United Services Recreation Club 3,v,[BYE],,,,11,12/01/2026,10
Sha Tin 4,v,Squashathon Advance,Cornwall Street Squash Centre,19:00:00,,12,19/01/2026,10
i-Mask Advance Squash Club 4,v,Kwai Tsing District Squash Club,Cornwall Street Squash Centre,19:00:00,,12,19/01/2026,10
RELAY 1,v,Banbil,Cornwall Street Squash Centre,19:00:00,,12,19/01/2026,10
Bravo D10,v,Thunder 2,Cornwall Street Squash Centre,19:00:00,,12,19/01/2026,10
Hong Kong Cricket Club D10,v,United Services Recreation Club 3,Hong Kong Cricket Club,19:00:00,,12,19/01/2026,10
Mercury,v,[BYE],,,,12,19/01/2026,10
United Services Recreation Club 3,v,Bravo D10,United Services Recreation Club,19:00:00,,13,26/01/2026,10
Thunder 2,v,RELAY 1,Cornwall Street Squash Centre,19:00:00,,13,26/01/2026,10
Banbil,v,i-Mask Advance Squash Club 4,HK Squash Centre,19:00:00,,13,26/01/2026,10
Kwai Tsing District Squash Club,v,Sha Tin 4,Cornwall Street Squash Centre,19:00:00,,13,26/01/2026,10
Squashathon Advance,v,Mercury,HK Squash Centre,19:00:00,,13,26/01/2026,10
Hong Kong Cricket Club D10,v,[BYE],,,,13,26/01/2026,10
Mercury,v,Kwai Tsing District Squash Club,HK Squash Centre,19:00:00,,14,02/02/2026,10
Sha Tin 4,v,Banbil,Cornwall Street Squash Centre,19:00:00,,14,02/02/2026,10
i-Mask Advance Squash Club 4,v,Thunder 2,Cornwall Street Squash Centre,19:00:00,,14,02/02/2026,10
RELAY 1,v,United Services Recreation Club 3,Cornwall Street Squash Centre,19:00:00,,14,02/02/2026,10
Bravo D10,v,Hong Kong Cricket Club D10,Cornwall Street Squash Centre,19:00:00,,14,02/02/2026,10
Squashathon Advance,v,[BYE],,,,14,02/02/2026,10
Hong Kong Cricket Club D10,v,RELAY 1,Hong Kong Cricket Club,19:00:00,,15,09/02/2026,10
United Services Recreation Club 3,v,i-Mask Advance Squash Club 4,United Services Recreation Club,19:00:00,,15,09/02/2026,10
Thunder 2,v,Sha Tin 4,Cornwall Street Squash Centre,19:00:00,,15,09/02/2026,10
Banbil,v,Mercury,HK Squash Centre,19:00:00,,15,09/02/2026,10
Kwai Tsing District Squash Club,v,Squashathon Advance,Cornwall Street Squash Centre,19:00:00,,15,09/02/2026,10
Bravo D10,v,[BYE],,,,15,09/02/2026,10
Squashathon Advance,v,Banbil,HK Squash Centre,19:00:00,,16,02/03/2026,10
Mercury,v,Thunder 2,HK Squash Centre,19:00:00,,16,02/03/2026,10
Sha Tin 4,v,United Services Recreation Club 3,Cornwall Street Squash Centre,19:00:00,,16,02/03/2026,10
i-Mask Advance Squash Club 4,v,Hong Kong Cricket Club D10,Cornwall Street Squash Centre,19:00:00,,16,02/03/2026,10
RELAY 1,v,Bravo D10,Cornwall Street Squash Centre,19:00:00,,16,02/03/2026,10
Kwai Tsing District Squash Club,v,[BYE],,,,16,02/03/2026,10
Bravo D10,v,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,19:00:00,,17,09/03/2026,10
Hong Kong Cricket Club D10,v,Sha Tin 4,Hong Kong Cricket Club,19:00:00,,17,09/03/2026,10
United Services Recreation Club 3,v,Mercury,United Services Recreation Club,19:00:00,,17,09/03/2026,10
